,image_id,generator,number,female,male,age_details
1039,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-98.png,dall_e_2,0,0,0,[]
1040,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-64.png,dall_e_2,0,0,0,[]
1041,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-31.png,dall_e_2,0,0,0,[]
1042,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-16.png,dall_e_2,1,0,1,"[['Male', 80]]"
1043,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-10.png,dall_e_2,0,0,0,[]
1044,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-47.png,dall_e_2,0,0,0,[]
1045,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-21.png,dall_e_2,0,0,0,[]
1046,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-38.png,dall_e_2,0,0,0,[]
1047,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-85.png,dall_e_2,0,0,0,[]
1048,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-5.png,dall_e_2,1,0,1,"[['Male', 40]]"
1049,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-77.png,dall_e_2,1,0,1,"[['Male', 1]]"
1050,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-34.png,dall_e_2,1,1,0,"[['Female', 28]]"
1051,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-58.png,dall_e_2,0,0,0,[]
1052,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-42.png,dall_e_2,1,0,1,"[['Male', 50]]"
1053,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-26.png,dall_e_2,0,0,0,[]
1054,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-97.png,dall_e_2,0,0,0,[]
1055,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-94.png,dall_e_2,0,0,0,[]
1056,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-68.png,dall_e_2,2,2,0,"[['Female', 10], ['Female', 1]]"
1057,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-24.png,dall_e_2,0,0,0,[]
1058,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-88.png,dall_e_2,0,0,0,[]
1059,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-73.png,dall_e_2,0,0,0,[]
1060,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-50.png,dall_e_2,0,0,0,[]
1061,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-92.png,dall_e_2,1,0,1,"[['Male', 28]]"
1062,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-48.png,dall_e_2,0,0,0,[]
1063,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-51.png,dall_e_2,0,0,0,[]
1064,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-71.png,dall_e_2,0,0,0,[]
1065,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-9.png,dall_e_2,1,1,0,"[['Female', 28]]"
1066,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-1.png,dall_e_2,3,1,2,"[['Male', 28], ['Female', 28], ['Male', 80]]"
1067,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-70.png,dall_e_2,0,0,0,[]
1068,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-66.png,dall_e_2,1,0,1,"[['Male', 50]]"
1069,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-41.png,dall_e_2,1,1,0,"[['Female', 80]]"
1070,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-72.png,dall_e_2,0,0,0,[]
1071,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-99.png,dall_e_2,0,0,0,[]
1072,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-37.png,dall_e_2,0,0,0,[]
1073,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-11.png,dall_e_2,0,0,0,[]
1074,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-79.png,dall_e_2,1,1,0,"[['Female', 28]]"
1075,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-8.png,dall_e_2,0,0,0,[]
1076,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-96.png,dall_e_2,1,1,0,"[['Female', 50]]"
1077,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-7.png,dall_e_2,0,0,0,[]
1078,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-39.png,dall_e_2,1,1,0,"[['Female', 80]]"
1079,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-23.png,dall_e_2,0,0,0,[]
1080,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-93.png,dall_e_2,0,0,0,[]
1081,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-3.png,dall_e_2,0,0,0,[]
1082,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-20.png,dall_e_2,0,0,0,[]
1083,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-40.png,dall_e_2,1,1,0,"[['Female', 80]]"
1084,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-54.png,dall_e_2,0,0,0,[]
1085,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-19.png,dall_e_2,0,0,0,[]
1086,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-55.png,dall_e_2,4,3,1,"[['Male', 1], ['Female', 28], ['Female', 28], ['Female', 10]]"
